frame,x,y,,,,,,,,,,,,,,,,,,,,
0,104.7391304,33.64864865,,,,,,,,,,,,,,,,,,,,
0,102.2608696,31.75675676,,,,,,,,,,,,,,,,,,,,
0,103.826087,50.40540541,,,,,,,,,,,,,,,,,,,,
0,100.5652174,37.83783784,,,,,,,,,,,,,,,,,,,,
0,107.3478261,40.94594595,,,,,,,,,,,,,,,,,,,,
1,104.6086957,33.64864865,,,,,,,,,,,,,,,,,,,,
1,102.2608696,31.75675676,,,,,,,,,,,,,,,,,,,,
1,103.826087,50.27027027,,,,,,,,,,,,,,,,,,,,
1,100.5652174,37.83783784,,,,,,,,,,,,,,,,,,,,
1,107.3478261,41.08108108,,,,,,"long pass more distance  more time, short pass- units, time",,,,,,,,,,,,,,
2,102.2608696,31.21621622,,,,,,,,,,,,,,,,,,,,
2,104.3478261,35.27027027,,,,,,,,,,,,,,,,,,,,
2,104.3478261,49.86486486,,,,,,,,,,,,,,,,,,,,
2,100.6956522,37.56756757,,,,,,,,,,,,,,,,,,,,
2,107.4782609,40.13513514,,,,,,,,,,,,,,,,,,,,
3,102.2608696,31.35135135,,,,,,,,,,,,,,,,,,,,
3,104.3478261,35.27027027,,,,,,,,,,,,,,,,,,,,
3,104.3478261,49.86486486,,,,,,,,,,,,,,,,,,,,
3,100.6956522,37.56756757,,,,,,,,,,,,,,,,,,,,
3,107.6086957,40.13513514,,,,,,,,,,,,,,,,,,,,
4,102.3913043,31.62162162,,,,,,,,,,,,,,,,,,,,
4,104.4782609,35.94594595,,,,,,,,,,,,,,,,,,,,
4,104.4782609,50.13513514,,,,,,,,,,,,,,,,,,,,
4,100.826087,37.83783784,,,,,,,,,,,,,,,,,,,,
4,107.2173913,40.54054054,,,,,,,,,,,,,,,,,,,,
5,104.4782609,35.94594595,,,,,,,,,,,,,,,,,,,,
5,101.3478261,34.72972973,,,,,,,,,,,,,,,,,,,,
5,104.7391304,50,,,,,,,,,,,,,,,,,,,,
5,99.91304348,39.86486486,,,,,,,,,,,,,,,,,,,,
5,106.4347826,41.89189189,,,,,,,,,,,,,,,,,,,,
6,104.7391304,36.35135135,,,,,,,,,,,,,,,,,,,,
6,101.2173913,35.40540541,,,,,,,,,,,,,,,,,,,,
6,104.4782609,50.67567568,,,,,,,,,,,,,,,,,,,,
6,100.0434783,40.54054054,,,,,,,,,,,,,,,,,,,,
6,106.173913,42.02702703,,,,,,,,,,,,,,,,,,,,
7,104.7391304,36.48648649,,,,,,,,,,,,,,,,,,,,
7,101.2173913,35.54054054,,,,,,,,,,,,,,,,,,,,
7,104.4782609,50.67567568,,,,,,,,,,,,,,,,,,,,
7,100.0434783,40.67567568,,,,,,,,,,,,,,,,,,,,
7,106.173913,42.02702703,,,,,,,,,,,,,,,,,,,,
8,105.1304348,37.16216216,,,,,,,,,,,,,,,,,,,,
8,101.7391304,34.05405405,,,,,,,,,,,,,,,,,,,,
8,105.6521739,43.51351351,,,,,,,,,,,,,,,,,,,,
8,101.7391304,38.10810811,,,,,,,,,,,,,,,,,,,,
8,104.8695652,51.21621622,,,,,,,,,,,,,,,,,,,,
9,105.2608696,37.02702703,,,,,,,,,,,,,,,,,,,,
9,101.8695652,33.78378378,,,,,,,,,,,,,,,,,,,,
9,105.6521739,43.37837838,,,,,,,,,,,,,,,,,,,,
9,102,37.83783784,,,,,,,,,,,,,,,,,,,,
9,104.8695652,51.08108108,,,,,,,,,,,,,,,,,,,,
10,105.2608696,37.43243243,,,,,,,,,,,,,,,,,,,,
10,102,33.91891892,,,,,,,,,,,,,,,,,,,,
10,105.3913043,43.78378378,,,,,,,,,,,,,,,,,,,,
10,101.8695652,38.37837838,,,,,,,,,,,,,,,,,,,,
10,105.1304348,51.08108108,,,,,,,,,,,,,,,,,,,,
11,105.9130435,36.89189189,,,,,,,,,,,,,,,,,,,,
11,105.7826087,43.51351351,,,,,,,,,,,,,,,,,,,,
11,102.1304348,35,,,,,,,,,,,,,,,,,,,,
12,106.3043478,37.02702703,,,,,,,,,,,,,,,,,,,,
12,105.7826087,43.64864865,,,,,,,,,,,,,,,,,,,,
12,102.1304348,35.40540541,,,,,,,,,,,,,,,,,,,,
13,106.4347826,37.02702703,,,,,,,,,,,,,,,,,,,,
13,105.6521739,43.91891892,,,,,,,,,,,,,,,,,,,,
13,102.1304348,35.67567568,,,,,,,,,,,,,,,,,,,,
14,102,36.08108108,,,,,,,,,,,,,,,,,,,,
14,104.8695652,45.13513514,,,,,,,,,,,,,,,,,,,,
14,106.4347826,37.2972973,,,,,,,,,,,,,,,,,,,,
