teamId,frame,x,y,ball_posession
Blue,0,59,34,1
Blue,0,72,83,0
Blue,0,51,87,0
Red,0,79,63,0
Red,0,52,80,0
Blue,0,84,64,0
Blue,0,87,52,0
Blue,0,90,59,0
Red,0,56,59,0
Blue,0,58,53,0
Blue,0,86,72,0
Red,0,89,58,0
Red,0,76,63,0
Blue,0,57,69,0
Blue,0,77,63,0
Red,0,61,54,0
Red,0,56,71,0
Red,0,55,65,0
Red,0,69,58,0
Blue,0,66,62,0
Red,0,65,63,0
Blue,1,59,34,1
Blue,1,72,83,0
Blue,1,51,87,0
Red,1,79,64,0
Red,1,52,80,0
Blue,1,84,65,0
Blue,1,87,52,0
Blue,1,90,59,0
Red,1,56,59,0
Blue,1,86,72,0
Blue,1,58,53,0
Red,1,89,58,0
Blue,1,57,69,0
Red,1,76,63,0
Blue,1,77,63,0
Red,1,61,54,0
Red,1,56,71,0
Red,1,55,65,0
Red,1,69,58,0
Blue,1,66,62,0
Red,1,65,63,0
Blue,2,59,34,1
Blue,2,72,83,0
Blue,2,51,87,0
Blue,2,84,65,0
Red,2,79,63,0
Blue,2,86,72,0
Blue,2,58,53,0
Red,2,56,59,0
Red,2,52,80,0
Blue,2,89,60,0
Red,2,88,58,0
Red,2,76,63,0
Red,2,55,65,0
Blue,2,87,52,0
Red,2,60,54,0
Blue,2,57,69,0
Red,2,56,71,0
Red,2,69,58,0
Blue,2,77,63,0
Blue,2,66,62,0
Red,2,65,63,0
Red,3,59,34,1
Blue,3,72,83,0
Blue,3,51,87,0
Blue,3,84,65,0
Blue,3,87,52,0
Blue,3,77,64,0
Blue,3,89,60,0
Blue,3,86,72,0
Blue,3,58,53,0
Red,3,52,80,0
Red,3,56,59,0
Red,3,56,71,0
Red,3,68,58,0
Red,3,89,58,0
Red,3,60,54,0
Blue,3,56,69,0
Red,3,55,66,0
Red,3,79,64,0
Blue,3,66,62,0
Red,3,65,63,0
Red,3,76,63,0
Blue,4,59,34,1
Blue,4,72,83,0
