Starting_Point,Ending_Point,PassCompletion,Team,TypeOfPass
"(23, 77)","(29, 46)",pass completed,Green,Normal Pass
"(29, 46)","(23, 77)",pass incomplete,Green,Normal Pass
"(23, 77)","(23, 77)",no pass attempted,Blue,Normal Pass
"(23, 77)","(23, 77)",no pass attempted,Blue,Normal Pass
"(22, 77)","(22, 77)",no pass attempted,Blue,Normal Pass
"(22, 77)","(22, 77)",no pass attempted,Blue,Normal Pass
"(22, 77)","(22, 77)",no pass attempted,Blue,Normal Pass
"(22, 77)","(22, 77)",no pass attempted,Blue,Normal Pass
"(22, 77)","(22, 77)",no pass attempted,Blue,Normal Pass
"(21, 77)","(21, 77)",no pass attempted,Green,Normal Pass
"(21, 77)","(21, 77)",no pass attempted,Blue,Normal Pass
"(22, 77)","(22, 77)",no pass attempted,Blue,Normal Pass
"(22, 77)","(22, 77)",no pass attempted,Blue,Normal Pass
"(22, 77)","(22, 77)",no pass attempted,Blue,Normal Pass
"(22, 78)","(22, 78)",no pass attempted,Green,Normal Pass
"(21, 78)","(21, 78)",no pass attempted,Green,Normal Pass
"(22, 78)","(22, 78)",no pass attempted,Green,Normal Pass
"(22, 78)","(22, 78)",no pass attempted,Blue,Normal Pass
"(22, 78)","(22, 78)",no pass attempted,Blue,Normal Pass
"(22, 78)","(22, 78)",no pass attempted,Blue,Normal Pass
"(22, 78)","(22, 78)",no pass attempted,Blue,Normal Pass
"(22, 78)","(22, 78)",no pass attempted,Blue,Normal Pass
"(22, 78)","(42, 76)",pass completed,Blue,Normal Pass
"(42, 76)","(22, 78)",pass completed,Blue,Normal Pass
"(22, 78)","(41, 77)",pass completed,Blue,Normal Pass
"(42, 78)","(42, 78)",no pass attempted,Green,Normal Pass
"(42, 80)","(42, 80)",no pass attempted,Blue,Normal Pass
"(42, 80)","(42, 80)",no pass attempted,Blue,Normal Pass
"(42, 80)","(42, 80)",no pass attempted,Blue,Normal Pass
"(42, 81)","(42, 81)",no pass attempted,Blue,Normal Pass
"(42, 81)","(42, 81)",no pass attempted,Blue,Normal Pass
"(42, 81)","(42, 81)",no pass attempted,Blue,Normal Pass
"(41, 81)","(41, 81)",no pass attempted,Blue,Normal Pass
"(41, 81)","(41, 81)",no pass attempted,Green,Normal Pass
"(41, 85)","(45, 61)",pass completed,Blue,Normal Pass
"(45, 61)","(41, 87)",pass completed,Blue,Normal Pass
"(41, 86)","(41, 86)",no pass attempted,Green,Normal Pass
"(41, 86)","(41, 86)",no pass attempted,Green,Normal Pass
