Starting_Point,Ending_Point,PassCompletion,Team,TS
"(30, 81)","(29, 80)",pass completed,Red,0.0
"(29, 80)","(30, 80)",pass completed,Red,0.03
"(30, 80)","(29, 79)",pass incomplete,Red,0.03
"(29, 79)","(29, 80)",pass completed,Blue,0.07
"(29, 80)","(29, 80)",no pass attempted,Blue,0.07
"(29, 80)","(29, 80)",no pass attempted,Blue,0.1
"(29, 80)","(28, 80)",pass completed,Blue,0.1
"(28, 80)","(28, 80)",no pass attempted,Blue,0.13
"(28, 80)","(27, 80)",pass completed,Blue,0.13
"(27, 80)","(28, 80)",pass completed,Blue,0.17
"(28, 80)","(23, 79)",pass completed,Blue,0.17
"(23, 79)","(26, 80)",pass completed,Blue,0.25
"(26, 80)","(22, 79)",pass completed,Blue,0.25
"(22, 79)","(23, 79)",pass completed,Blue,0.28
"(23, 79)","(22, 79)",pass incomplete,Blue,0.28
"(22, 79)","(22, 79)",no pass attempted,Red,0.32
"(22, 79)","(22, 79)",pass incomplete,Red,0.32
"(22, 79)","(22, 79)",no pass attempted,Blue,0.35
"(22, 79)","(23, 79)",pass completed,Blue,0.35
"(23, 79)","(23, 79)",no pass attempted,Blue,0.38
"(23, 79)","(23, 79)",no pass attempted,Blue,0.38
"(23, 79)","(23, 79)",no pass attempted,Blue,0.42
"(23, 79)","(22, 80)",pass incomplete,Blue,0.42
"(22, 80)","(23, 80)",pass completed,Red,0.47
"(23, 80)","(22, 80)",pass completed,Red,0.47
"(22, 80)","(22, 80)",no pass attempted,Red,0.5
"(22, 80)","(22, 80)",no pass attempted,Red,0.5
"(22, 80)","(22, 80)",no pass attempted,Red,0.53
"(22, 80)","(22, 78)",pass incomplete,Red,0.53
"(22, 78)","(22, 80)",pass completed,Blue,0.57
"(22, 80)","(22, 79)",pass incomplete,Blue,0.57
"(22, 79)","(22, 80)",pass completed,Red,0.6
"(22, 80)","(22, 80)",no pass attempted,Red,0.6
"(22, 80)","(22, 80)",no pass attempted,Red,0.63
"(22, 80)","(22, 80)",no pass attempted,Red,0.63
"(22, 80)","(22, 80)",no pass attempted,Red,0.67
"(22, 80)","(22, 80)",pass incomplete,Red,0.67
"(22, 80)","(22, 80)",no pass attempted,Blue,0.7
"(22, 80)","(22, 79)",pass completed,Blue,0.7
"(22, 79)","(22, 80)",pass completed,Blue,0.73
"(22, 80)","(22, 80)",no pass attempted,Blue,0.73
"(22, 80)","(22, 79)",pass completed,Blue,0.75
"(22, 79)","(42, 76)",pass completed,Blue,0.75
"(42, 76)","(22, 80)",pass completed,Blue,1.48
"(22, 80)","(41, 77)",pass completed,Blue,1.48
"(41, 77)","(42, 77)",pass completed,Blue,1.52
"(42, 77)","(41, 77)",pass completed,Blue,1.52
"(41, 77)","(42, 78)",pass completed,Blue,1.55
"(42, 78)","(42, 78)",pass incomplete,Blue,1.55
"(42, 78)","(41, 77)",pass completed,Red,1.58
"(41, 77)","(25, 66)",pass completed,Red,1.58
"(25, 66)","(42, 78)",pass completed,Red,1.6
"(42, 78)","(42, 80)",pass incomplete,Red,1.6
"(42, 80)","(42, 78)",pass completed,Blue,1.63
"(42, 78)","(42, 80)",pass completed,Blue,1.63
"(42, 80)","(43, 80)",pass completed,Blue,1.67
"(43, 80)","(42, 80)",pass completed,Blue,1.67
"(42, 80)","(42, 80)",no pass attempted,Blue,1.7
"(42, 80)","(42, 81)",pass completed,Blue,1.7
"(42, 81)","(42, 80)",pass completed,Blue,1.74
"(42, 80)","(42, 81)",pass completed,Blue,1.74
"(42, 81)","(42, 81)",no pass attempted,Blue,1.77
"(42, 81)","(41, 81)",pass completed,Blue,1.77
"(41, 81)","(42, 81)",pass completed,Blue,1.8
"(42, 81)","(41, 81)",pass completed,Blue,1.8
"(41, 81)","(41, 81)",no pass attempted,Blue,1.84
"(41, 81)","(40, 83)",pass completed,Blue,1.84
"(40, 83)","(41, 81)",pass completed,Blue,2.02
"(41, 81)","(41, 85)",pass completed,Blue,2.02
"(41, 85)","(41, 84)",pass completed,Blue,2.07
"(41, 84)","(42, 88)",pass completed,Blue,2.07
"(42, 88)","(41, 85)",pass completed,Blue,2.12
"(41, 85)","(42, 87)",pass completed,Blue,2.12
"(42, 87)","(42, 88)",pass completed,Blue,2.15
"(42, 88)","(41, 88)",pass completed,Blue,2.15
"(41, 88)","(41, 87)",pass completed,Blue,2.19
"(41, 87)","(41, 86)",pass incomplete,Blue,2.19
"(41, 86)","(42, 87)",pass completed,Red,2.44
"(42, 87)","(41, 86)",pass completed,Red,2.44
"(41, 86)","(41, 86)",no pass attempted,Red,2.57
"(41, 86)","(41, 86)",no pass attempted,Red,2.57
"(41, 86)","(39, 88)",pass completed,Red,2.6
"(39, 88)","(41, 86)",pass completed,Red,2.6
"(41, 86)","(39, 87)",pass completed,Red,2.69
"(39, 87)","(40, 86)",pass completed,Red,2.69
"(40, 86)","(41, 86)",pass completed,Red,2.72
"(41, 86)","(40, 86)",pass completed,Red,2.72
"(40, 86)","(40, 86)",no pass attempted,Red,2.75
"(40, 86)","(40, 86)",no pass attempted,Red,2.75
"(40, 86)","(40, 86)",no pass attempted,Red,2.79
"(40, 86)","(40, 86)",no pass attempted,Red,2.79
"(40, 86)","(40, 86)",no pass attempted,Red,2.82
"(40, 86)","(40, 86)",no pass attempted,Red,2.82
"(40, 86)","(40, 85)",pass completed,Red,2.85
"(40, 85)","(33, 70)",pass completed,Red,2.85
"(33, 70)","(34, 68)",pass completed,Red,3.29
"(34, 68)","(32, 69)",pass completed,Red,3.29
"(32, 69)","(32, 69)",no pass attempted,Red,3.32
"(32, 69)","(32, 69)",no pass attempted,Red,3.32
"(32, 69)","(32, 69)",no pass attempted,Red,3.35
"(32, 69)","(33, 69)",pass completed,Red,3.35
"(33, 69)","(33, 69)",no pass attempted,Red,3.37
"(33, 69)","(33, 69)",no pass attempted,Red,3.37
"(33, 69)","(33, 70)",pass completed,Red,3.42
"(33, 70)","(35, 68)",pass incomplete,Red,3.42
"(35, 68)","(35, 68)",no pass attempted,Blue,3.47
"(35, 68)","(32, 69)",pass incomplete,Blue,3.47
"(32, 69)","(33, 68)",pass completed,Red,3.49
"(33, 68)","(32, 68)",pass completed,Red,3.49
"(32, 68)","(32, 68)",no pass attempted,Red,3.52
"(32, 68)","(33, 69)",pass completed,Red,3.52
"(33, 69)","(33, 69)",no pass attempted,Red,3.55
"(33, 69)","(32, 69)",pass completed,Red,3.55
"(32, 69)","(32, 69)",no pass attempted,Red,3.59
"(32, 69)","(32, 69)",no pass attempted,Red,3.59
"(32, 69)","(32, 69)",no pass attempted,Red,3.62
"(32, 69)","(33, 70)",pass completed,Red,3.62
"(33, 70)","(33, 70)",no pass attempted,Red,3.64
"(33, 70)","(36, 69)",pass incomplete,Red,3.64
"(36, 69)","(33, 70)",pass completed,Blue,3.67
"(33, 70)","(36, 69)",pass completed,Blue,3.67
"(36, 69)","(33, 69)",pass completed,Blue,3.69
"(33, 69)","(36, 69)",pass completed,Blue,3.69
"(36, 69)","(36, 69)",no pass attempted,Blue,3.72
"(36, 69)","(36, 69)",no pass attempted,Blue,3.72
"(36, 69)","(36, 69)",no pass attempted,Blue,3.75
"(36, 69)","(36, 69)",no pass attempted,Blue,3.75
"(36, 69)","(36, 69)",no pass attempted,Blue,3.77
"(36, 69)","(36, 69)",no pass attempted,Blue,3.77
"(36, 69)","(36, 69)",no pass attempted,Blue,3.8
"(36, 69)","(36, 69)",no pass attempted,Blue,3.8
"(36, 69)","(36, 69)",no pass attempted,Blue,3.82
"(36, 69)","(36, 69)",no pass attempted,Blue,3.82
"(36, 69)","(36, 69)",no pass attempted,Blue,3.87
"(36, 69)","(37, 69)",pass completed,Blue,3.87
"(37, 69)","(36, 69)",pass completed,Blue,3.89
"(36, 69)","(31, 58)",pass completed,Blue,3.89
"(31, 58)","(33, 65)",pass completed,Blue,3.94
"(33, 65)","(36, 67)",pass completed,Blue,3.94
"(36, 67)","(33, 65)",pass completed,Blue,3.97
"(33, 65)","(37, 68)",pass completed,Blue,3.97
"(37, 68)","(37, 68)",no pass attempted,Blue,4.0
"(37, 68)","(37, 68)",no pass attempted,Blue,4.0
"(37, 68)","(37, 68)",no pass attempted,Blue,4.04
"(37, 68)","(37, 69)",pass completed,Blue,4.04
"(37, 69)","(37, 68)",pass completed,Blue,4.07
"(37, 68)","(38, 71)",pass completed,Blue,4.07
"(38, 71)","(37, 70)",pass completed,Blue,4.1
"(37, 70)","(38, 72)",pass completed,Blue,4.1
"(38, 72)","(38, 72)",no pass attempted,Blue,4.14
"(38, 72)","(39, 72)",pass completed,Blue,4.14
"(39, 72)","(38, 72)",pass completed,Blue,4.15
"(38, 72)","(39, 73)",pass completed,Blue,4.15
"(39, 73)","(39, 73)",no pass attempted,Blue,4.17
"(39, 73)","(39, 73)",no pass attempted,Blue,4.17
"(39, 73)","(39, 73)",no pass attempted,Blue,4.2
"(39, 73)","(39, 74)",pass completed,Blue,4.2
"(39, 74)","(39, 73)",pass completed,Blue,4.24
"(39, 73)","(39, 73)",no pass attempted,Blue,4.24
"(39, 73)","(39, 73)",no pass attempted,Blue,4.25
"(39, 73)","(40, 74)",pass completed,Blue,4.25
"(40, 74)","(39, 73)",pass completed,Blue,4.29
"(39, 73)","(40, 74)",pass completed,Blue,4.29
"(40, 74)","(40, 74)",no pass attempted,Blue,4.3
"(40, 74)","(40, 74)",no pass attempted,Blue,4.3
"(40, 74)","(40, 74)",no pass attempted,Blue,4.34
"(40, 74)","(37, 72)",pass incomplete,Blue,4.34
"(37, 72)","(40, 75)",pass completed,Red,4.35
"(40, 75)","(40, 74)",pass incomplete,Red,4.35
"(40, 74)","(40, 74)",no pass attempted,Blue,4.39
