teamId,frame,x,y,ball_posession
Red,0,36,28,0
Red,0,45,52,0
Green,0,40,51,0
Green,0,46,57,0
Green,0,36,64,0
Green,0,38,54,0
Green,0,48,45,0
Blue,0,31,50,0
Blue,0,35,55,0
Blue,0,40,47,1
Blue,0,47,45,0
Green,0,41,47,0
Blue,0,29,58,0
Blue,0,33,46,0
Blue,0,32,49,0
Green,0,33,49,0
Blue,0,30,52,0
Green,0,31,52,0
Green,0,39,35,0
Green,0,30,57,0
Red,0,45,52,0
Blue,0,29,62,0
Red,0,22,58,0
Red,1,36,28,0
Red,1,45,52,0
Green,1,40,51,0
Green,1,46,58,0
Green,1,36,64,0
Green,1,38,54,0
Blue,1,31,50,0
Green,1,48,45,0
Blue,1,35,55,0
Blue,1,40,47,1
Blue,1,47,45,0
Green,1,41,47,0
Blue,1,29,58,0
Blue,1,33,46,0
Blue,1,32,49,0
Green,1,33,49,0
Blue,1,30,52,0
Green,1,31,52,0
Green,1,39,35,0
Green,1,30,57,0
Red,1,45,52,0
Blue,1,29,62,0
Red,1,22,58,0
Red,2,36,28,0
Green,2,40,52,0
Green,2,36,64,0
Green,2,46,58,0
Blue,2,31,51,0
Green,2,38,54,0
Green,2,49,45,0
Blue,2,47,45,0
Blue,2,40,48,1
Blue,2,34,46,0
Green,2,42,47,0
Blue,2,29,58,0
Green,2,33,49,0
Blue,2,29,62,0
Green,2,40,36,0
Blue,2,30,52,0
Green,2,31,52,0
Red,2,45,53,0
Blue,2,32,50,0
Red,2,22,58,0
Blue,2,35,55,0
Green,2,30,57,0
Red,3,36,28,0
Red,3,45,53,0
Green,3,40,52,0
Green,3,36,65,0
Green,3,49,46,0
Green,3,38,55,0
Blue,3,35,55,0
Blue,3,34,47,1
Green,3,47,58,0
Blue,3,47,45,0
Blue,3,29,62,0
Green,3,42,47,0
Green,3,31,52,0
Blue,3,29,58,0
Blue,3,32,51,0
Blue,3,40,48,0
Green,3,40,36,0
Green,3,30,57,0
Green,3,33,48,0
Blue,3,30,52,0
Blue,3,32,50,0
Red,3,22,59,0
Red,3,45,53,0
Red,4,37,29,0
Red,4,46,54,0
Red,4,22,59,0
Green,4,40,52,0
Green,4,36,65,0
Blue,4,34,47,1
Blue,4,36,56,0
Green,4,38,55,0
Green,4,47,59,0
Green,4,49,47,0
Blue,4,29,59,0
Green,4,42,48,0
Blue,4,29,62,0
Blue,4,32,51,0
Green,4,31,53,0
Green,4,40,37,0
Green,4,30,58,0
Green,4,33,48,0
Blue,4,33,51,0
Blue,4,48,46,0
Blue,4,30,53,0
Blue,4,41,49,0
Red,4,22,59,0
Red,4,46,54,0
Green,4,29,54,0
Red,5,36,29,0
Red,5,46,54,0
Green,5,40,52,0
Green,5,36,65,0
Blue,5,36,56,0
Blue,5,34,47,1
Green,5,38,55,0
Blue,5,32,51,0
Green,5,49,47,0
Green,5,47,59,0
Blue,5,29,63,0
Green,5,42,48,0
Blue,5,29,59,0
Blue,5,40,49,0
Green,5,31,53,0
Green,5,33,48,0
Green,5,40,37,0
Blue,5,48,46,0
Blue,5,30,53,0
Blue,5,33,51,0
Green,5,31,58,0
Green,5,29,55,0
Red,5,22,59,0
Red,5,46,54,0
Red,6,46,54,0
Red,6,36,29,0
Green,6,40,52,0
Green,6,36,65,0
Green,6,38,55,0
Blue,6,34,47,1
Blue,6,36,56,0
Green,6,49,47,0
Blue,6,29,63,0
Green,6,42,49,0
Blue,6,29,59,0
Blue,6,32,51,0
Green,6,31,53,0
Blue,6,48,47,0
Green,6,47,59,0
Blue,6,40,49,0
Green,6,40,37,0
Green,6,33,48,0
Blue,6,30,53,0
Blue,6,32,50,0
Red,6,22,59,0
Green,6,31,58,0
Green,6,29,55,0
Red,7,46,54,0
Red,7,37,29,0
Green,7,36,65,0
Blue,7,36,55,0
Green,7,38,55,0
Green,7,40,52,0
Green,7,49,47,0
Green,7,42,49,0
Blue,7,29,63,0
Blue,7,48,47,0
Blue,7,40,49,1
Blue,7,29,59,0
Blue,7,34,47,0
Green,7,47,59,0
Green,7,31,53,0
Green,7,40,37,0
Green,7,34,49,0
Blue,7,32,51,0
Blue,7,30,54,0
Green,7,31,59,0
Blue,7,32,49,0
Red,7,22,59,0
Green,7,29,55,0
Red,8,46,54,0
Red,8,37,28,0
Green,8,36,65,0
Blue,8,40,49,1
Blue,8,36,55,0
Green,8,38,56,0
Green,8,42,49,0
Green,8,49,47,0
Blue,8,48,47,0
Blue,8,29,63,0
Green,8,47,59,0
Green,8,34,50,0
Blue,8,29,59,0
Blue,8,34,47,0
Green,8,40,37,0
Green,8,31,53,0
Blue,8,30,54,0
Green,8,40,53,0
Blue,8,32,51,0
Green,8,31,59,0
Blue,8,32,50,0
Red,8,22,59,0
Blue,8,30,57,0
Red,8,46,54,0
Red,9,37,29,0
