x_Point,y_Point,PressureRating,Team,TimeStamp
30,73,4,Red,0.0
30,72,5,Red,0.0
29,72,4,Red,0.03
29,72,4,Red,0.05
29,71,0,Blue,0.07
29,72,0,Blue,0.08
29,72,0,Blue,0.1
28,72,0,Blue,0.12
28,72,0,Blue,0.13
28,72,0,Blue,0.15
27,72,0,Blue,0.17
26,72,0,Blue,0.2
23,71,0,Blue,0.25
23,71,0,Blue,0.27
22,71,0,Blue,0.28
22,71,4,Red,0.3
22,71,4,Red,0.32
22,71,5,Blue,0.33
22,71,0,Blue,0.35
23,71,4,Blue,0.37
23,71,4,Blue,0.38
23,71,4,Blue,0.4
23,71,0,Blue,0.42
23,72,0,Blue,0.43
22,72,4,Red,0.47
22,72,0,Red,0.48
22,72,0,Red,0.5
22,72,0,Red,0.52
22,72,4,Red,0.53
22,72,4,Red,0.55
22,70,3,Blue,0.57
22,72,4,Red,0.58
22,71,4,Red,0.6
22,72,0,Red,0.62
22,72,3,Red,0.63
22,72,0,Red,0.65
22,72,3,Red,0.67
22,72,0,Blue,0.68
22,72,0,Blue,0.7
22,72,0,Blue,0.72
22,71,0,Blue,0.73
22,71,0,Blue,0.75
22,72,0,Blue,0.75
22,72,0,Red,0.77
42,68,3,Blue,1.48
42,69,4,Blue,1.5
41,69,3,Blue,1.52
42,70,4,Red,1.52
41,69,4,Blue,1.55
41,69,4,Blue,1.57
42,70,4,Red,1.58
42,70,4,Red,1.58
25,58,3,Red,1.6
42,70,4,Red,1.6
42,72,4,Blue,1.63
43,72,4,Red,1.65
42,72,4,Blue,1.67
42,72,5,Blue,1.69
42,72,5,Blue,1.7
42,72,0,Blue,1.72
42,73,4,Blue,1.74
42,73,4,Blue,1.75
42,73,4,Blue,1.77
42,73,0,Blue,1.79
41,73,5,Blue,1.8
41,73,4,Blue,1.82
41,73,0,Blue,1.84
41,73,5,Red,1.85
40,75,3,Blue,2.02
41,76,3,Blue,2.05
41,77,3,Blue,2.07
41,77,3,Blue,2.09
42,80,2,Blue,2.12
42,80,3,Blue,2.14
42,79,4,Blue,2.15
41,79,3,Blue,2.17
41,80,2,Blue,2.19
42,79,4,Red,2.22
41,78,2,Red,2.44
41,78,3,Red,2.47
41,78,2,Red,2.57
39,80,2,Blue,2.59
41,78,2,Red,2.6
39,79,2,Blue,2.62
41,78,2,Red,2.69
41,78,2,Red,2.7
40,78,3,Red,2.72
40,78,4,Red,2.74
40,78,3,Red,2.75
40,78,3,Red,2.77
40,78,3,Red,2.79
40,78,3,Red,2.8
40,78,3,Red,2.82
40,77,2,Red,2.84
40,78,3,Red,2.85
34,60,2,Blue,3.27
33,62,3,Red,3.29
32,61,3,Red,3.3
32,61,3,Red,3.32
32,61,3,Red,3.34
32,61,3,Red,3.35
33,61,3,Red,3.37
33,61,3,Red,3.37
33,62,3,Red,3.4
33,61,3,Red,3.42
35,60,3,Blue,3.44
35,60,3,Blue,3.47
33,60,3,Red,3.49
32,61,2,Red,3.49
32,60,2,Red,3.5
32,60,2,Red,3.52
33,61,3,Red,3.54
33,61,3,Red,3.55
32,61,2,Red,3.57
32,61,2,Red,3.59
32,61,2,Red,3.6
32,61,2,Red,3.62
33,62,3,Red,3.62
33,62,3,Red,3.64
33,62,3,Red,3.65
36,61,2,Blue,3.67
33,61,2,Red,3.69
36,61,2,Blue,3.69
36,61,2,Blue,3.7
36,61,2,Blue,3.72
36,61,2,Blue,3.74
36,61,2,Blue,3.75
36,61,2,Blue,3.75
36,61,2,Blue,3.77
36,61,2,Blue,3.79
36,61,2,Blue,3.8
36,61,2,Blue,3.82
36,61,3,Blue,3.82
36,61,3,Blue,3.84
36,61,3,Blue,3.87
36,61,3,Blue,3.87
37,61,2,Blue,3.89
33,57,2,Red,3.94
31,50,1,Blue,3.94
33,57,2,Red,3.95
36,59,2,Blue,3.97
37,60,2,Blue,3.99
37,60,2,Blue,4.0
37,60,1,Blue,4.02
37,60,1,Blue,4.04
37,60,2,Blue,4.05
37,61,1,Blue,4.07
37,62,1,Blue,4.09
38,63,1,Blue,4.1
38,64,2,Blue,4.12
38,64,2,Blue,4.14
38,64,2,Blue,4.14
39,64,1,Blue,4.15
39,65,1,Blue,4.17
39,65,1,Blue,4.17
39,65,2,Blue,4.19
39,65,1,Blue,4.2
39,65,1,Blue,4.22
39,66,1,Blue,4.24
39,65,1,Blue,4.24
39,65,2,Blue,4.25
39,65,2,Blue,4.27
40,66,1,Blue,4.29
40,66,1,Blue,4.3
40,66,1,Blue,4.3
40,66,1,Blue,4.32
40,66,1,Blue,4.34
40,67,1,Blue,4.35
37,64,1,Red,4.35
40,66,1,Blue,4.37
40,66,1,Blue,4.39
40,67,1,Blue,4.4
40,67,1,Blue,4.4
37,65,1,Red,4.44
37,65,0,Red,4.55
37,65,0,Red,4.57
37,65,0,Red,4.62
37,65,0,Red,4.64
39,65,0,Red,5.06
39,65,0,Red,5.06
39,65,0,Red,5.07
38,65,0,Red,5.09
39,65,0,Red,5.11
49,69,0,Red,5.17
49,69,0,Red,5.19
49,69,0,Red,5.22
49,69,0,Red,5.24
49,69,0,Red,5.26
49,69,0,Red,5.27
49,69,0,Red,5.29
75,72,0,Red,5.94
