teamId,frame,x,y,ball_posession
Blue,0,30,-1,0
Red,0,52,72,0
Red,0,30,51,0
Red,0,26,68,0
Red,0,58,75,0
Red,0,28,78,1
Red,0,49,48,0
Red,0,31,36,0
Red,0,47,31,0
Red,0,44,53,0
Red,0,28,80,0
Red,0,40,57,0
Red,0,17,56,0
Red,0,60,80,0
Green,0,8,67,0
Blue,1,30,0,0
Red,1,52,72,0
Red,1,26,68,0
Red,1,30,51,0
Red,1,58,75,0
Red,1,40,58,0
Red,1,49,49,0
Red,1,47,31,0
Red,1,31,37,0
Red,1,28,80,1
Red,1,28,79,0
Red,1,44,53,0
Red,1,17,56,0
Green,1,8,66,0
Red,1,60,81,0
Blue,2,30,0,0
Red,2,52,72,0
Red,2,26,68,0
Red,2,30,51,0
Red,2,40,58,0
Red,2,49,49,0
Red,2,48,31,0
Red,2,44,53,0
Red,2,31,37,0
Red,2,28,80,1
Red,2,28,79,0
Red,2,58,76,0
Red,2,17,56,0
Red,2,60,81,0
Blue,3,30,0,0
Red,3,17,56,0
Red,3,26,68,0
Red,3,51,72,0
Red,3,44,53,0
Red,3,31,37,0
Red,3,49,49,0
Red,3,30,51,0
Red,3,40,58,0
Red,3,28,80,1
Red,3,58,76,0
Red,3,48,32,0
Red,3,28,79,0
Red,3,17,56,0
Red,3,60,81,0
Red,4,44,53,0
Red,4,52,72,0
Red,4,26,68,0
Red,4,49,49,0
Red,4,31,37,0
Red,4,30,51,0
Red,4,58,76,0
Red,4,40,58,0
Red,4,48,32,0
Red,4,27,80,1
Red,4,28,79,0
Red,4,17,56,0
Red,4,61,82,0
Red,5,61,81,0
Blue,5,30,-1,0
Red,5,17,56,0
Red,5,58,76,0
Red,5,44,53,0
Red,5,50,49,0
Red,5,52,72,0
Red,5,26,68,0
Red,5,29,51,0
Red,5,40,58,0
Red,5,31,37,0
Red,5,27,80,1
Red,5,48,32,0
Red,5,28,79,0
Red,5,17,56,0
Green,5,8,66,0
Red,5,61,82,0
Blue,6,30,0,0
Red,6,17,56,0
Red,6,58,76,0
Red,6,51,72,0
Red,6,49,49,0
Red,6,25,68,0
Red,6,29,51,0
Red,6,44,53,0
Red,6,27,80,1
Red,6,48,32,0
Red,6,28,79,0
Red,6,40,58,0
Red,6,31,37,0
Red,6,60,81,0
Red,6,17,56,0
Blue,7,30,-1,0
Red,7,58,76,0
Red,7,51,72,0
Red,7,29,51,0
Red,7,40,58,0
Red,7,25,68,0
Red,7,44,54,0
Red,7,49,49,0
Red,7,27,80,1
Red,7,48,32,0
Red,7,31,37,0
Red,7,28,79,0
Red,7,60,81,0
Red,7,17,56,0
Green,7,8,66,0
Blue,8,30,-1,0
Red,8,57,75,0
Red,8,51,71,0
Red,8,39,58,0
Red,8,25,68,0
Red,8,43,54,0
Red,8,29,51,0
Red,8,49,49,0
Red,8,27,79,1
Red,8,48,32,0
Red,8,31,38,0
Red,8,27,79,0
Red,8,17,56,0
Red,8,60,81,0
Red,8,47,32,0
Blue,8,30,-1,0
Blue,9,35,-2,0
Red,9,44,54,0
Red,9,23,79,1
Red,9,50,50,0
Red,9,51,32,0
Red,9,22,68,0
Red,9,50,72,0
Red,9,28,51,0
Red,9,56,75,0
Red,9,58,81,0
Red,9,23,78,0
Red,9,32,38,0
Red,9,39,59,0
Red,9,15,56,0
Red,9,59,39,0
Blue,10,34,-1,0
Red,10,23,79,1
Red,10,43,54,0
Red,10,49,49,0
Red,10,55,75,0
Red,10,22,68,0
Red,10,49,71,0
Red,10,38,59,0
Red,10,57,80,0
Red,10,28,51,0
Red,10,23,79,0
Red,10,31,38,0
Red,10,49,32,0
Red,10,15,56,0
Red,10,57,39,0
Green,10,4,66,0
Blue,11,34,-1,0
Red,11,49,49,0
Red,11,55,75,0
Red,11,31,38,0
Red,11,22,79,1
Red,11,22,68,0
Red,11,43,54,0
Red,11,38,59,0
Red,11,49,71,0
Red,11,57,80,0
Red,11,49,32,0
Red,11,23,79,0
Red,11,28,51,0
Red,11,57,39,0
Red,11,15,56,0
Blue,11,34,-1,0
Blue,12,34,-1,0
Red,12,15,56,0
Red,12,15,56,0
Red,12,49,49,0
Red,12,54,75,0
Red,12,22,68,0
Red,12,49,71,0
Red,12,31,38,0
Red,12,28,51,0
Red,12,22,79,1
Red,12,57,80,0
Red,12,49,33,0
Red,12,38,59,0
Red,12,42,54,0
Red,12,23,79,0
Red,12,57,40,0
Red,12,15,56,0
Blue,13,34,-1,0
Red,13,38,59,0
Red,13,22,68,0
Red,13,49,71,0
Red,13,49,49,0
Red,13,31,38,0
Red,13,42,54,0
Red,13,22,79,1
Red,13,54,75,0
Red,13,49,33,0
Red,13,57,80,0
Red,13,57,40,0
Red,13,28,51,0
Red,13,23,78,0
Red,13,15,56,0
Red,13,22,79,0
Blue,14,34,-1,0
Blue,14,32,-2,0
Red,14,22,68,0
Red,14,48,71,0
Red,14,49,49,0
Red,14,56,80,0
Red,14,37,60,0
Red,14,42,54,0
Red,14,54,75,0
Red,14,31,38,0
Red,14,28,52,0
Red,14,56,40,0
Red,14,15,56,0
Red,14,23,79,1
Red,14,22,79,0
Red,14,48,33,0
Blue,14,34,-1,0
Blue,15,34,-1,0
Blue,15,32,-2,0
Red,15,15,56,0
