teamId,frame,x,y,ball_posession
Red,0,94,55,0
Red,0,95,51,0
Red,0,100,68,0
Blue,0,91,60,0
Blue,0,91,48,0
Blue,0,102,57,0
Green,0,112,60,0
Blue,0,96,70,0
Red,0,99,53,0
Red,0,103,59,0
Red,1,94,55,0
Red,1,95,51,0
Red,1,100,68,0
Blue,1,91,60,0
Blue,1,91,47,0
Blue,1,102,56,0
Green,1,112,60,0
Blue,1,96,70,0
Red,1,99,53,0
Red,1,103,59,0
Red,2,94,55,0
Red,2,95,51,0
Red,2,100,68,0
Blue,2,90,60,0
Blue,2,91,48,0
Blue,2,102,57,0
Green,2,112,60,0
Blue,2,96,70,0
Red,2,99,53,0
Red,2,103,59,0
Red,3,100,68,0
Red,3,99,53,0
Blue,3,91,60,0
Red,3,94,56,0
Blue,3,102,56,0
Blue,3,91,48,0
Blue,3,96,70,1
Red,3,95,51,0
Green,3,112,60,0
Red,3,102,59,0
Red,4,100,68,1
Red,4,99,53,0
Blue,4,91,60,0
Red,4,94,56,0
Blue,4,102,56,0
Blue,4,91,48,0
Blue,4,96,70,0
Red,4,95,51,0
Green,4,112,60,0
Red,4,102,59,0
Green,5,112,60,0
Red,5,100,68,1
Blue,5,102,56,0
Blue,5,96,70,0
Blue,5,91,48,0
Red,5,94,57,0
Red,5,102,60,0
Blue,5,91,60,0
Red,5,95,52,0
Red,5,99,54,0
Green,5,112,60,0
Green,5,97,69,0
Green,6,112,60,0
Red,6,99,68,1
Blue,6,91,47,0
Blue,6,102,56,0
Blue,6,96,70,0
Red,6,94,57,0
Blue,6,91,60,0
Red,6,101,60,0
Red,6,99,54,0
Red,6,95,52,0
Green,6,112,60,0
Blue,7,102,56,0
Blue,7,97,71,0
Red,7,94,52,0
Red,7,94,57,0
Red,7,101,60,0
Red,7,99,54,0
Blue,7,91,47,0
Green,7,111,61,0
Blue,7,91,61,0
Red,7,99,69,0
Blue,8,102,56,0
Blue,8,97,71,0
Red,8,94,52,0
Red,8,94,57,0
Red,8,101,60,0
Red,8,99,54,0
Blue,8,91,47,0
Green,8,111,61,0
Blue,8,91,61,0
Red,8,99,69,0
Red,9,95,52,0
Red,9,99,55,0
Blue,9,91,48,0
Red,9,94,57,0
Blue,9,91,61,0
Blue,9,97,71,0
Red,9,100,69,0
Blue,9,102,56,0
Red,9,100,61,0
Green,9,111,61,0
Red,10,95,52,0
Red,10,99,55,0
Red,10,94,58,0
Blue,10,97,70,0
Blue,10,102,56,0
Red,10,99,69,0
Blue,10,91,48,0
Blue,10,91,61,0
Red,10,100,61,0
Green,10,111,62,0
Blue,11,101,56,0
Red,11,95,52,0
Blue,11,91,48,0
Red,11,99,55,0
Red,11,100,69,0
Red,11,94,58,0
Blue,11,97,71,0
Green,11,111,62,0
Blue,11,91,62,0
Red,11,100,61,0
Blue,12,91,48,0
Blue,12,101,56,0
Red,12,95,53,0
Red,12,94,59,0
Blue,12,97,71,0
Red,12,100,61,0
Blue,12,91,62,0
Green,12,111,62,0
Red,12,100,69,0
Red,12,99,55,0
Blue,13,102,57,0
Blue,13,91,48,0
Blue,13,97,71,0
Red,13,95,58,0
Red,13,95,53,0
Red,13,100,62,0
Green,13,111,62,0
Red,13,100,56,0
Red,13,100,70,0
Blue,13,92,62,0
Blue,14,102,57,0
Blue,14,91,48,0
Green,14,111,62,0
Red,14,99,63,0
Blue,14,98,71,0
Red,14,100,56,0
Blue,14,92,62,1
Red,14,95,53,0
Red,14,101,68,0
Blue,15,102,57,0
Red,15,100,56,0
Red,15,99,63,0
Blue,15,92,48,0
Red,15,95,54,0
Blue,15,98,71,0
Green,15,111,62,0
Blue,15,93,62,1
Blue,15,95,59,0
Blue,16,102,57,0
Red,16,99,64,0
Red,16,100,56,0
Red,16,96,54,0
Green,16,111,62,0
Blue,16,93,63,1
Blue,16,94,60,0
Blue,16,99,72,0
Blue,16,92,48,0
Blue,16,102,67,0
Blue,17,94,61,1
Red,17,99,64,0
Blue,17,102,57,0
Red,17,96,54,0
Red,17,101,57,0
Green,17,112,62,0
Blue,17,99,72,0
Blue,17,92,49,0
Blue,17,93,63,0
Blue,17,102,68,0
Green,17,114,59,0
Green,17,93,64,0
Red,18,96,54,0
Blue,18,92,49,0
Blue,18,99,72,0
Blue,18,102,56,0
Red,18,99,64,0
Red,18,100,57,0
Green,18,112,62,0
Blue,18,94,62,0
Blue,18,101,69,0
Blue,18,93,63,0
Green,18,114,59,0
Blue,19,99,72,0
Blue,19,93,49,1
Red,19,96,54,0
Red,19,98,64,0
Blue,19,101,70,0
Blue,19,93,63,0
Green,19,112,62,0
Blue,19,102,57,0
Blue,19,95,61,0
Red,19,100,58,0
Blue,20,93,49,0
Red,20,96,55,0
Blue,20,100,72,0
Blue,20,101,58,0
Green,20,111,62,0
Blue,20,95,61,0
Blue,20,93,63,0
Red,20,101,70,0
Red,20,98,64,0
Blue,21,93,49,0
Blue,21,100,72,0
Red,21,96,55,0
Red,21,101,70,0
Blue,21,101,57,0
Green,21,111,62,0
Blue,21,94,62,0
Blue,21,93,63,0
Blue,21,101,58,0
Red,21,97,65,0
Red,21,98,63,1
Blue,22,93,49,0
Blue,22,101,57,0
Red,22,101,69,0
