teamId,frame,x,y,ball_posession,timestamp
Blue,0,51,73,0,0.15015
Green,0,46,71,0,0.15015
Green,0,48,50,0,0.15015
Green,0,42,55,0,0.15015
Blue,0,49,34,0,0.15015
Green,0,22,67,0,0.15015
Green,0,23,77,1,0.15015
Blue,0,38,58,0,0.15015
Blue,0,24,76,0,0.15015
Green,0,28,52,0,0.15015
Green,0,32,39,0,0.15015
Red,0,14,56,0,0.15015
Blue,0,52,77,0,0.15015
Red,0,4,66,0,0.15015
Green,1,37,0,0,0.166833333
Green,1,46,71,0,0.166833333
Blue,1,51,73,0,0.166833333
Green,1,48,50,0,0.166833333
Green,1,22,67,0,0.166833333
Green,1,28,52,0,0.166833333
Green,1,42,55,0,0.166833333
Blue,1,49,34,0,0.166833333
Green,1,23,77,1,0.166833333
Blue,1,38,58,0,0.166833333
Blue,1,24,76,0,0.166833333
Green,1,32,38,0,0.166833333
Red,1,14,56,0,0.166833333
Blue,1,52,77,0,0.166833333
Red,1,4,66,0,0.166833333
Green,2,37,0,0,0.183516667
Green,2,46,71,0,0.183516667
Green,2,28,52,0,0.183516667
Green,2,22,67,0,0.183516667
Green,2,48,50,0,0.183516667
Blue,2,51,73,0,0.183516667
Green,2,32,38,0,0.183516667
Green,2,42,54,0,0.183516667
Blue,2,23,77,1,0.183516667
Blue,2,49,33,0,0.183516667
Blue,2,23,76,0,0.183516667
Blue,2,38,58,0,0.183516667
Red,2,14,56,0,0.183516667
Blue,2,53,77,0,0.183516667
Green,3,37,0,0,0.2002
Green,3,46,70,0,0.2002
Green,3,28,52,0,0.2002
Green,3,22,67,0,0.2002
Blue,3,51,73,0,0.2002
Green,3,48,50,0,0.2002
Green,3,32,38,0,0.2002
Blue,3,23,76,1,0.2002
Blue,3,23,77,0,0.2002
Green,3,42,54,0,0.2002
Blue,3,38,58,0,0.2002
Blue,3,49,34,0,0.2002
Red,3,14,56,0,0.2002
Blue,3,52,77,0,0.2002
Red,3,4,66,0,0.2002
Green,4,36,0,0,0.2002
Red,4,14,56,0,0.2002
Green,4,46,70,0,0.2002
Green,4,22,67,0,0.2002
Green,4,28,52,0,0.2002
Blue,4,37,58,0,0.2002
Green,4,47,50,0,0.2002
Blue,4,51,73,0,0.2002
Green,4,32,38,0,0.2002
Blue,4,49,34,0,0.2002
Blue,4,23,77,1,0.2002
Blue,4,23,76,0,0.2002
Green,4,42,54,0,0.2002
Red,4,14,56,0,0.2002
Red,4,4,66,0,0.2002
Green,5,36,0,0,0.216883333
Green,5,46,70,0,0.216883333
Green,5,22,67,0,0.216883333
Blue,5,37,58,0,0.216883333
Green,5,28,52,0,0.216883333
Green,5,47,50,0,0.216883333
Green,5,42,54,0,0.216883333
Blue,5,49,34,0,0.216883333
Green,5,32,39,0,0.216883333
Blue,5,22,77,1,0.216883333
Blue,5,23,76,0,0.216883333
Blue,5,51,73,0,0.216883333
Red,5,14,56,0,0.216883333
Green,6,36,0,0,0.233566667
Red,6,14,56,0,0.233566667
Green,6,22,67,0,0.233566667
Green,6,46,70,0,0.233566667
Green,6,42,54,0,0.233566667
Green,6,47,51,0,0.233566667
Green,6,32,39,0,0.233566667
Green,6,28,52,0,0.233566667
Blue,6,37,58,0,0.233566667
Blue,6,22,77,1,0.233566667
Blue,6,49,34,0,0.233566667
Blue,6,51,73,0,0.233566667
Blue,6,23,77,0,0.233566667
Red,6,14,56,0,0.233566667
Green,7,36,0,0,0.25025
Green,7,41,54,0,0.25025
Green,7,46,70,0,0.25025
